Order,Name of episode,Centralized average v30,Effective playback volume,Market share,Total number of sets,Number of fans,Forwarding volume,Microblog comment area,Microblog likes,
1,XinHanCanLan,,4340,30.1,4,56,4755.2,17.3,3.5,39.6
2,Canglan Jue,,5383,22.1,3,36,2281.7,16.4,13.6,28.9
3,ChengXiangRuXie,,3064,20.2,2.7,59,6074.9,6.3,14,16.9
4,FaZui,,2065,18.8,2.5,40,1926.6,18.4,16.4,14.7
5,MeiGuiZhiZhan,,2805,12,1.6,40,1629.8,16.5,8.9,10.8
6,XingFuDaoWanJia,,2965,11.5,1.5,40,1949.5,11.3,6.3,18.6
7,TianCaiJiBenFa,,2554,9.6,1.3,40,3993.4,12.8,100,11.3
8,HuanLeSong,,2542,8.8,1.2,34,2478.7,4.5,18.4,31.1
9,MengHuaLu,,4269,8.2,1.1,33,1926.6,33.2,11.6,11.9
10,BingYuHuo,,2838,8.2,1.1,49,1327.6,12.5,19.3,16.7
11,ErShiBuHuo,,2107,7.9,1.1,40,1028.6,9.5,193,19.3
12,QingJun,,2567,6.5,0.9,32,929.6,13.8,25,5.5
13,GuanYuTangYiShengDeYiQie,,2005,6.5,0.9,40,1130.6,17.9,26.8,5.8
14,LiangGeRenDeXiaoSenLing,,2588,7.8,0.8,36,1231.6,16.5,23.9,6
